model,attack_family,n,n_benign,n_attack,single_class_slice,slice_warning,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
weighted_ensemble__wifi,DDoS,1066764,0,1066764,1,single_class_slice,1.0,0.9999962503421562,0.9999981251675631,0.0,nan,1.0,1066760,0,0,4
weighted_ensemble__wifi,DoS,416676,0,416676,1,single_class_slice,1.0,0.9999976000537588,0.9999988000254395,0.0,nan,1.0,416675,0,0,1
weighted_ensemble__wifi,Recon,27676,0,27676,1,single_class_slice,1.0,0.9547983812689695,0.9768765826879355,0.0,nan,1.0,26425,0,0,1251
weighted_ensemble__wifi,Spoofing,1744,0,1744,1,single_class_slice,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
catboost_tuned__protocol_routed,Benign,48408,48408,0,1,single_class_slice,0.0,0.0,0.0,0.0009502561560072716,nan,0.0,0,48362,46,0
catboost_tuned__protocol_routed,DDoS,1117096,0,1117096,1,single_class_slice,1.0,0.9999955241089397,0.9999977620494614,0.0,nan,0.9999999999999999,1117091,0,0,5
catboost_tuned__protocol_routed,DoS,428312,0,428312,1,single_class_slice,1.0,0.9999953305067334,0.9999976652479157,0.0,nan,1.0,428310,0,0,2
catboost_tuned__protocol_routed,Malformed,1747,0,1747,1,single_class_slice,1.0,0.4367487120778477,0.6079681274900398,0.0,nan,1.0,763,0,0,984
catboost_tuned__protocol_routed,Other,25170,0,25170,1,single_class_slice,1.0,0.9802145411203814,0.9900084266281449,0.0,nan,1.0,24672,0,0,498
catboost_tuned__protocol_routed,Recon,27676,0,27676,1,single_class_slice,1.0,0.9536421448186154,0.9762710610516192,0.0,nan,0.9999999999999999,26393,0,0,1283
catboost_tuned__protocol_routed,Spoofing,1744,0,1744,1,single_class_slice,1.0,0.5,0.6666666666666666,0.0,nan,1.0,872,0,0,872
complex_mlp_tuned__protocol_routed,Benign,48408,48408,0,1,single_class_slice,0.0,0.0,0.0,0.0006817055032226078,nan,0.0,0,48375,33,0
complex_mlp_tuned__protocol_routed,DDoS,1117096,0,1117096,1,single_class_slice,1.0,0.9999928385743033,0.9999964192743301,0.0,nan,1.0,1117088,0,0,8
complex_mlp_tuned__protocol_routed,DoS,428312,0,428312,1,single_class_slice,1.0,0.9999883262668335,0.9999941630993475,0.0,nan,1.0,428307,0,0,5
complex_mlp_tuned__protocol_routed,Malformed,1747,0,1747,1,single_class_slice,1.0,0.797366914710933,0.8872611464968153,0.0,nan,1.0,1393,0,0,354
complex_mlp_tuned__protocol_routed,Other,25170,0,25170,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
complex_mlp_tuned__protocol_routed,Recon,27676,0,27676,1,single_class_slice,1.0,0.9176904176904177,0.957078795643818,0.0,nan,1.0,25398,0,0,2278
complex_mlp_tuned__protocol_routed,Spoofing,1744,0,1744,1,single_class_slice,1.0,0.0017201834862385322,0.0034344590726960505,0.0,nan,1.0,3,0,0,1741
lightgbm_tuned__protocol_routed,Benign,6671,6671,0,1,single_class_slice,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
lightgbm_tuned__protocol_routed,DDoS,50332,0,50332,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
lightgbm_tuned__protocol_routed,DoS,11636,0,11636,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
lightgbm_tuned__protocol_routed,Malformed,1747,0,1747,1,single_class_slice,1.0,0.8500286204922725,0.9189356435643564,0.0,nan,1.0,1485,0,0,262
lightgbm_tuned__protocol_routed,Other,25170,0,25170,1,single_class_slice,0.0,0.0,0.0,0.0,nan,1.0,0,0,0,25170
weighted_ensemble__protocol_routed,Benign,48408,48408,0,1,single_class_slice,0.0,0.0,0.0,0.015348702693769626,nan,0.0,0,47665,743,0
weighted_ensemble__protocol_routed,DDoS,1117096,0,1117096,1,single_class_slice,1.0,0.9999964192871517,0.9999982096403705,0.0,nan,1.0,1117092,0,0,4
weighted_ensemble__protocol_routed,DoS,428312,0,428312,1,single_class_slice,1.0,0.9999976652533668,0.9999988326253206,0.0,nan,1.0,428311,0,0,1
weighted_ensemble__protocol_routed,Malformed,1747,0,1747,1,single_class_slice,1.0,0.8345735546651403,0.9098283931357254,0.0,nan,1.0,1458,0,0,289
weighted_ensemble__protocol_routed,Other,25170,0,25170,1,single_class_slice,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
weighted_ensemble__protocol_routed,Recon,27676,0,27676,1,single_class_slice,1.0,0.9547983812689695,0.9768765826879355,0.0,nan,1.0,26425,0,0,1251
weighted_ensemble__protocol_routed,Spoofing,1744,0,1744,1,single_class_slice,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
xgboost_tuned__protocol_routed,Benign,48408,48408,0,1,single_class_slice,0.0,0.0,0.0,0.00014460419765328046,nan,0.0,0,48401,7,0
xgboost_tuned__protocol_routed,DDoS,1117096,0,1117096,1,single_class_slice,1.0,0.9999910482178792,0.9999955240889059,0.0,nan,1.0,1117086,0,0,10
xgboost_tuned__protocol_routed,DoS,428312,0,428312,1,single_class_slice,1.0,0.9999929957601001,0.9999964978677852,0.0,nan,1.0,428309,0,0,3
xgboost_tuned__protocol_routed,Malformed,1747,0,1747,1,single_class_slice,1.0,0.8511734401831712,0.9196042053184911,0.0,nan,1.0,1487,0,0,260
xgboost_tuned__protocol_routed,Other,25170,0,25170,1,single_class_slice,1.0,0.9830353595550259,0.9914451144992287,0.0,nan,1.0,24743,0,0,427
xgboost_tuned__protocol_routed,Recon,27676,0,27676,1,single_class_slice,1.0,0.9479693597340656,0.9732898056091408,0.0,nan,1.0,26236,0,0,1440
xgboost_tuned__protocol_routed,Spoofing,1744,0,1744,1,single_class_slice,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
