protocol,model_name,family_id,family_name,family_description,seed,num_gate_pass,gate_pass,gate_failure_category,gate_clean_fpr,gate_attacked_benign_fpr,gate_adv_malicious_recall,clean_fpr,attacked_benign_fpr,adv_malicious_recall,clean_f1,robust_f1,warm_threshold,selected_threshold,threshold_selection_mode,threshold_selected_adv_shortfall,warm_model_device,robust_model_device,attack_source_mode,attack_source_detail_prefit,attack_source_detail_val,hardneg_weight,maladv_weight,extra_topk_per_epsilon,n_aug_benign,n_aug_malicious,hardneg_cap_info,timing_seconds,files,final_rank
wifi,xgboost,C,recall_priority_control,bluetooth_recovery_tuned,42,68,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9948369547701769,0.9966555183946488,0.30101734166851735,0.7059035830671372,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.25,800,1917,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1917, 'after_rows': 1917, 'capped': False, 'max_allowed_rows': 1917}","{'total': 29.659693956375122, 'warm_fit': 1.6602227687835693, 'attack_gen': 26.03804874420166, 'robust_fit': 1.7963242530822754, 'threshold_eval': 0.12694096565246582}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_C_seed_42/attack_preview.csv', 'saved_model': ''}",11
wifi,xgboost,A,fpr_priority,strict_flip_only_low_weight,42,56,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9948175173071716,0.9966555183946488,0.30101734166851735,0.789934263776994,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.5,1.5,0,1117,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1117, 'after_rows': 1117, 'capped': False, 'max_allowed_rows': 1117}","{'total': 29.933233976364136, 'warm_fit': 1.8485133647918701, 'attack_gen': 26.065293788909912, 'robust_fit': 1.8518502712249756, 'threshold_eval': 0.12051630020141602}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",12
wifi,catboost,A,fpr_priority,strict_flip_only_low_weight,42,107,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9948110379857803,0.9966555183946488,0.11036796491060902,0.9579831953014649,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.5,1.5,0,1117,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1117, 'after_rows': 1117, 'capped': False, 'max_allowed_rows': 1117}","{'total': 96.65414500236511, 'warm_fit': 35.01097345352173, 'attack_gen': 26.32168674468994, 'robust_fit': 35.02225136756897, 'threshold_eval': 0.14133572578430176}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_catboost_A_seed_42/attack_preview.csv', 'saved_model': ''}",13
wifi,xgboost,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,73,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9947915995204146,0.9966555183946488,0.30101734166851735,0.7899378513529806,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 29.772202253341675, 'warm_fit': 1.729902744293213, 'attack_gen': 26.082587003707886, 'robust_fit': 1.8012127876281738, 'threshold_eval': 0.12215304374694824}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_B_seed_42/attack_preview.csv', 'saved_model': ''}",14
wifi,xgboost,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,62,True,none,True,True,True,0.0,0.0,0.9933333333333333,0.9947851198648902,0.9966555183946488,0.30101734166851735,0.7983352907761118,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.75,2.25,250,1367,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1367, 'after_rows': 1367, 'capped': False, 'max_allowed_rows': 1367}","{'total': 29.73964262008667, 'warm_fit': 1.6271469593048096, 'attack_gen': 26.163374662399292, 'robust_fit': 1.7872505187988281, 'threshold_eval': 0.12368035316467285}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_xgboost_D_seed_42/attack_preview.csv', 'saved_model': ''}",15
wifi,mlp,E,bluetooth_recovery_e,bluetooth_recovery_aggressive_recall,42,74,True,none,True,True,True,0.0,0.0,0.9926666666666667,0.9942859354039831,0.9963198394111744,0.9030100334449153,0.32773111136143745,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.25,2.75,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 41.049808979034424, 'warm_fit': 7.3674702644348145, 'attack_gen': 26.07074475288391, 'robust_fit': 7.49205756187439, 'threshold_eval': 0.08086466789245605}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_E_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_E_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_E_seed_42/attack_preview.csv', 'saved_model': ''}",16
wifi,mlp,D,bluetooth_recovery_d,bluetooth_recovery_conservative_plus,42,55,True,none,True,True,True,0.0,0.0,0.9906666666666667,0.9939420527344632,0.9953114534494306,0.5384615874750596,0.5210084034766294,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.75,2.25,250,1367,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1367, 'after_rows': 1367, 'capped': False, 'max_allowed_rows': 1367}","{'total': 40.9355354309082, 'warm_fit': 7.2036120891571045, 'attack_gen': 26.07405376434326, 'robust_fit': 7.4848949909210205, 'threshold_eval': 0.07888031005859375}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_D_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_D_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_D_seed_42/attack_preview.csv', 'saved_model': ''}",17
wifi,mlp,A,fpr_priority,strict_flip_only_low_weight,42,45,True,none,True,True,True,0.0004928536224741252,0.0006666666666666666,0.9926666666666667,0.994454618142426,0.9959866220735786,0.26421457646713037,0.2689075630264549,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,1.5,1.5,0,1117,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1117, 'after_rows': 1117, 'capped': False, 'max_allowed_rows': 1117}","{'total': 44.08512330055237, 'warm_fit': 10.488658905029297, 'attack_gen': 25.90742826461792, 'robust_fit': 7.369958877563477, 'threshold_eval': 0.2808105945587158}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_A_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_A_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_A_seed_42/attack_preview.csv', 'saved_model': ''}",18
wifi,mlp,C,recall_priority_control,bluetooth_recovery_tuned,42,46,True,none,True,True,True,0.0004928536224741252,0.0006666666666666666,0.9913333333333333,0.9941757341606413,0.9953145917001339,0.5451505016841964,0.3781512605070088,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.25,800,1917,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1917, 'after_rows': 1917, 'capped': False, 'max_allowed_rows': 1917}","{'total': 41.00038290023804, 'warm_fit': 7.48321008682251, 'attack_gen': 26.007489919662476, 'robust_fit': 7.332493305206299, 'threshold_eval': 0.08090996742248535}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_C_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_C_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_C_seed_42/attack_preview.csv', 'saved_model': ''}",19
wifi,mlp,B,balanced,strict_flips_limited_near_miss_moderate_weight,42,48,True,none,True,True,True,0.0004928536224741252,0.0006666666666666666,0.9913333333333333,0.9940654350294148,0.9953145917001339,0.2073578596221622,0.48739495798981747,gate_pass_lexicographic,0.0,cuda,cuda,fixed_xgb,fixed_xgb:wifi_base,fixed_xgb:wifi_base,2.0,2.0,500,1617,4000,"{'enabled': False, 'protocol': 'wifi', 'sampled_benign_count': 4000, 'max_fraction': 0.5, 'before_rows': 1617, 'after_rows': 1617, 'capped': False, 'max_allowed_rows': 1617}","{'total': 40.57092809677124, 'warm_fit': 7.122984886169434, 'attack_gen': 26.017560958862305, 'robust_fit': 7.312353134155273, 'threshold_eval': 0.08205437660217285}","{'candidate_dir': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_B_seed_42', 'attack_stats_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_B_seed_42/attack_stats.csv', 'attack_preview_csv': '/home/capstone15/reports/full_gpu_hpo_models_20260306_195851_protocol_multimodel_robust_matrix_v1_20260312_133527/candidates/coarse_wifi_mlp_B_seed_42/attack_preview.csv', 'saved_model': ''}",20
