split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_catboost_recall_priority_control,0.1,12000,0.0,4863.0,4863.0,0.40525,5363.0,0.4469166666666667,500.0,0.40525,candidate_model,candidate_model:warm_mqtt_catboost,1970368,164.19733333333335,192.0,4.79175,6,6,10262.333333333334,11950.0,12000,0,0,1e-06,0,False,0,0,0,0.0,330,0,0,0,0,,,,
train_mqtt_catboost_recall_priority_control,0.1,12000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_catboost,2297760,191.48,192.0,5.228833333333333,6,6,11967.5,11993.5,12000,0,0,1e-06,0,False,0,0,0,0.0,883,0,0,0,0,12000.0,56.0,0.004666666666666667,0.9953333333333333
val_mqtt_catboost,0.1,6000,3.0,182.0,179.0,0.029833333333333333,179.0,0.029833333333333333,0.0,0.030333333333333334,candidate_model,candidate_model:robust_mqtt_catboost,1140800,190.13333333333333,192.0,5.4625,6,6,5941.666666666667,5994.75,5997,0,0,1e-06,0,False,0,0,0,0.0,18,0,0,0,0,,,,
val_mqtt_catboost,0.1,6000,,,,,,,,,candidate_model,candidate_model:robust_mqtt_catboost,1082208,180.368,192.0,5.017166666666666,6,6,5636.5,5936.75,5954,0,0,1e-06,0,False,0,0,0,0.0,25,0,0,0,0,5954.0,774.0,0.129,0.8633333333333333
