model,threshold,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn,val_recall_at_fpr_le_1pct,val_fpr_at_selected_threshold
logistic_sgd,0.3964879223640329,0.9889732206787913,0.9865714285714285,0.9877708646213258,0.011,0.9968445510204081,0.996903101271442,6906,6923,77,94,0.9915,0.01
mlp_1hidden,0.15455567385995417,0.9786516853932584,0.9954285714285714,0.9869688385269122,0.021714285714285714,0.9987957551020408,0.9991205470712783,6968,6848,152,32,0.9975,0.01
adaboost_stumps,0.553930407449871,0.955018273826258,0.9705714285714285,0.9627320391101034,0.045714285714285714,0.9943484183673469,0.9962184929983037,6794,6680,320,206,0.9775,0.0075
tree_stump,1.0,0.8094247246022032,0.9447142857142857,0.8718523401450231,0.22242857142857142,0.8611428571428571,0.9897064539395932,6613,5443,1557,387,0.0,0.0
