case_id,protocol_used,feature,contribution,abs_contribution,direction,bias
bluetooth_TP_001,bluetooth,Tot sum,4.361215591430664,4.361215591430664,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Tot size,1.0801161527633667,1.0801161527633667,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Max,0.6475880742073059,0.6475880742073059,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Number,0.2700241506099701,0.2700241506099701,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Header_Length,0.2049594223499298,0.2049594223499298,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Min,0.1833387166261673,0.1833387166261673,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,IAT,0.10401631891727448,0.10401631891727448,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Rate,0.05834616720676422,0.05834616720676422,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Std,-0.008477870374917984,0.008477870374917984,benign,-0.024201517924666405
bluetooth_TP_001,bluetooth,Drate,0.0,0.0,attack,-0.024201517924666405
bluetooth_TN_001,bluetooth,Tot sum,-4.2006120681762695,4.2006120681762695,benign,-0.024201517924666405
bluetooth_TN_001,bluetooth,Max,1.7711262702941895,1.7711262702941895,attack,-0.024201517924666405
bluetooth_TN_001,bluetooth,Header_Length,-0.6638538241386414,0.6638538241386414,benign,-0.024201517924666405
bluetooth_TN_001,bluetooth,Tot size,0.4470328688621521,0.4470328688621521,attack,-0.024201517924666405
bluetooth_TN_001,bluetooth,Min,0.2754521667957306,0.2754521667957306,attack,-0.024201517924666405
bluetooth_TN_001,bluetooth,Number,-0.25376641750335693,0.25376641750335693,benign,-0.024201517924666405
bluetooth_TN_001,bluetooth,Rate,-0.20483924448490143,0.20483924448490143,benign,-0.024201517924666405
bluetooth_TN_001,bluetooth,IAT,0.07666684687137604,0.07666684687137604,attack,-0.024201517924666405
bluetooth_TN_001,bluetooth,Std,0.06258277595043182,0.06258277595043182,attack,-0.024201517924666405
bluetooth_TN_001,bluetooth,Drate,0.0,0.0,attack,-0.024201517924666405
bluetooth_FN_001,bluetooth,Tot sum,-4.20444917678833,4.20444917678833,benign,-0.024201517924666405
bluetooth_FN_001,bluetooth,Max,1.7602225542068481,1.7602225542068481,attack,-0.024201517924666405
bluetooth_FN_001,bluetooth,Tot size,1.4131810665130615,1.4131810665130615,attack,-0.024201517924666405
bluetooth_FN_001,bluetooth,Min,0.2754521667957306,0.2754521667957306,attack,-0.024201517924666405
bluetooth_FN_001,bluetooth,Number,-0.25376641750335693,0.25376641750335693,benign,-0.024201517924666405
bluetooth_FN_001,bluetooth,Header_Length,0.2049594223499298,0.2049594223499298,attack,-0.024201517924666405
bluetooth_FN_001,bluetooth,Rate,-0.20483924448490143,0.20483924448490143,benign,-0.024201517924666405
bluetooth_FN_001,bluetooth,IAT,0.17865997552871704,0.17865997552871704,attack,-0.024201517924666405
bluetooth_FN_001,bluetooth,Std,-0.039606474339962006,0.039606474339962006,benign,-0.024201517924666405
bluetooth_FN_001,bluetooth,Drate,0.0,0.0,attack,-0.024201517924666405
mqtt_TP_001,mqtt,syn_count,3.471879720687866,3.471879720687866,attack,-0.03622765094041824
mqtt_TP_001,mqtt,Rate,3.4677953720092773,3.4677953720092773,attack,-0.03622765094041824
mqtt_TP_001,mqtt,ack_count,2.066310405731201,2.066310405731201,attack,-0.03622765094041824
mqtt_TP_001,mqtt,IAT,1.1109139919281006,1.1109139919281006,attack,-0.03622765094041824
mqtt_TP_001,mqtt,rst_count,0.9690272808074951,0.9690272808074951,attack,-0.03622765094041824
mqtt_TP_001,mqtt,Srate,0.6099952459335327,0.6099952459335327,attack,-0.03622765094041824
mqtt_TP_001,mqtt,Tot sum,0.2959516942501068,0.2959516942501068,attack,-0.03622765094041824
mqtt_TP_001,mqtt,fin_count,0.22958320379257202,0.22958320379257202,attack,-0.03622765094041824
mqtt_TP_001,mqtt,syn_flag_number,0.2037215530872345,0.2037215530872345,attack,-0.03622765094041824
mqtt_TP_001,mqtt,Min,0.19261963665485382,0.19261963665485382,attack,-0.03622765094041824
wifi_TP_001,wifi,IAT,3.777226209640503,3.777226209640503,attack,-0.012035328894853592
wifi_TP_001,wifi,Magnitue,-1.7814055681228638,1.7814055681228638,benign,-0.012035328894853592
wifi_TP_001,wifi,Tot size,-1.6851860284805298,1.6851860284805298,benign,-0.012035328894853592
wifi_TP_001,wifi,Number,-0.8215618133544922,0.8215618133544922,benign,-0.012035328894853592
wifi_TP_001,wifi,AVG,-0.5399333238601685,0.5399333238601685,benign,-0.012035328894853592
wifi_TP_001,wifi,Max,-0.5109004974365234,0.5109004974365234,benign,-0.012035328894853592
