split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_mlp_bluetooth_recovery_e,0.1,4000,1.0,1.0,0.0,0.0,500.0,0.125,500.0,0.00025,candidate_model,candidate_model:warm_wifi_mlp,191952,47.988,48.0,0.8765,0,0,0,0.0,0,0,0,0,0,,,,
train_wifi_mlp_bluetooth_recovery_e,0.1,4000,,,,,,,,,candidate_model,candidate_model:warm_wifi_mlp,191520,47.88,48.0,0.0045,0,0,0,0.0,0,0,0,0,0,3990.0,0.0,0.0,0.9975
val_wifi_mlp,0.1,1500,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,candidate_model,candidate_model:robust_wifi_mlp,71760,47.84,48.0,0.268,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_mlp,0.1,1500,,,,,,,,,candidate_model,candidate_model:robust_wifi_mlp,71472,47.648,48.0,0.0033333333333333335,0,0,0,0.0,0,0,0,0,0,1489.0,0.0,0.0,0.9926666666666667
