attack_method,epsilon,tp,tn,fp,fn,precision,recall,f1,fpr,n,n_benign,n_attack,asr_conditional,asr_conditional_num,asr_conditional_den,asr_all,asr_all_num,asr_all_den,delta_f1
baseline,0.0,595,400,0,5,1.0,0.9916666666666667,0.99581589958159,0.0,1000,400,600,0.0,0,595,0.0,0,600,0.0
surrogate_fgsm,0.0,595,400,0,5,1.0,0.9916666666666667,0.99581589958159,0.0,1000,400,600,0.0,0,595,0.008333333333333333,5,600,0.0
surrogate_fgsm,0.02,373,400,0,227,1.0,0.6216666666666667,0.7667009249743063,0.0,1000,400,600,0.373109243697479,222,595,0.37833333333333335,227,600,-0.2291149746072837
surrogate_pgd,0.0,595,400,0,5,1.0,0.9916666666666667,0.99581589958159,0.0,1000,400,600,0.0,0,595,0.008333333333333333,5,600,0.0
surrogate_pgd,0.02,373,400,0,227,1.0,0.6216666666666667,0.7667009249743063,0.0,1000,400,600,0.373109243697479,222,595,0.37833333333333335,227,600,-0.2291149746072837
heuristic_shap,0.0,595,400,0,5,1.0,0.9916666666666667,0.99581589958159,0.0,1000,400,600,0.0,0,595,0.008333333333333333,5,600,0.0
heuristic_shap,0.02,395,400,0,205,1.0,0.6583333333333333,0.7939698492462312,0.0,1000,400,600,0.3378151260504202,201,595,0.3416666666666667,205,600,-0.20184605033535885
