split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,query_fast_projection,query_refine_topk,fast_projection_rows,full_projection_rows,fast_refine_candidates_scored,full_projection_candidates,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_catboost_bluetooth_recovery_e,0.1,8000,1.0,3025.0,3024.0,0.378,3524.0,0.4405,500.0,0.378125,fixed_xgb,fixed_xgb:wifi_base,788793,98.599125,128.0,0.7705,6,6,5989.166666666667,7719.75,7999,16384,2,5e-05,0,False,True,1,35935,0,35935,0,0,0,0,0.0,2,0,0,0,0,,,,
train_wifi_catboost_bluetooth_recovery_e,0.1,30000,,,,,,,,,fixed_xgb,fixed_xgb:wifi_base,3832450,127.74833333333333,128.0,4.095533333333333,15,13,11974.0,16384.0,16384,16384,2,5e-05,2,True,True,1,179610,0,179610,0,0,0,0,0.0,1328,0,0,0,0,29977.0,77.0,0.0025666666666666667,0.9966666666666667
val_wifi_catboost,0.1,2029,0.0,112.0,112.0,0.05519960571710202,112.0,0.05519960571710202,0.0,0.05519960571710202,fixed_xgb,fixed_xgb:wifi_base,250801,123.60818137013307,128.0,0.1074420896993593,6,5,1953.1666666666667,2017.0,2029,16384,2,5e-05,1,False,True,1,11719,0,11719,0,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_catboost,0.1,9357,,,,,,,,,fixed_xgb,fixed_xgb:wifi_base,1189420,127.11552848135086,128.0,4.0508710056642085,6,4,9292.0,9297.0,9298,16384,2,5e-05,1,False,True,1,55752,0,55752,0,0,0,0,0.0,253,0,0,0,0,9298.0,8.0,0.0008549748851127498,0.9928395853371808
