split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_catboost_recall_priority_control,0.1,12000,0.0,4763.0,4763.0,0.39691666666666664,5263.0,0.4385833333333333,500.0,0.39691666666666664,candidate_model,candidate_model:warm_wifi_catboost,1693152,141.096,192.0,0.81675,6,6,8818.5,11491.0,12000,0,0,1e-06,0,False,0,0,0,0.0,5,0,0,0,0,,,,
train_wifi_catboost_recall_priority_control,0.1,12000,,,,,,,,,candidate_model,candidate_model:warm_wifi_catboost,2301984,191.832,192.0,5.770083333333333,6,6,11989.5,11997.25,12000,0,0,1e-06,0,False,0,0,0,0.0,116,0,0,0,0,12000.0,13.0,0.0010833333333333333,0.9989166666666667
val_wifi_catboost,0.1,2029,6.0,34.0,28.0,0.013799901429275506,28.0,0.013799901429275506,0.0,0.016757023164120255,candidate_model,candidate_model:robust_wifi_catboost,386016,190.2493839329719,192.0,0.29719073435189747,6,5,2010.5,2023.0,2023,0,0,1e-06,0,False,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_catboost,0.1,6000,,,,,,,,,candidate_model,candidate_model:robust_wifi_catboost,1145088,190.848,192.0,5.6335,6,1,5964.0,5967.5,5969,0,0,1e-06,5,False,0,0,0,0.0,412,0,0,0,0,5969.0,6.0,0.001,0.9938333333333333
