feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,protocol_hint,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
1,0.5238351591397077,0.0,368,xgboost,0.9138280335196604,"{""colsample_bytree"": 0.8776046333153519, ""gamma"": 0.0038261979428780373, ""learning_rate"": 0.02491206034662307, ""max_bin"": 256, ""max_depth"": 4, ""min_child_weight"": 16.784768574640264, ""n_estimators"": 1810, ""reg_alpha"": 0.0012804342538395952, ""reg_lambda"": 72.19724123881521, ""subsample"": 0.9656722925595779}",bluetooth,coarse,ok,0.9900606870651245,12,0.9267277046686063,0.006214585998903308,0.9849237768017434,0.9922263503858245,0.8693409455128205
1,0.11129841906949878,0.0,32,xgboost,0.9389326984118014,"{""colsample_bytree"": 0.8737982574075556, ""gamma"": 0.3763985247877099, ""learning_rate"": 0.20013812890084115, ""max_bin"": 512, ""max_depth"": 5, ""min_child_weight"": 1.9662555194994678, ""n_estimators"": 2201, ""reg_alpha"": 0.0020508839405883428, ""reg_lambda"": 0.005228517529202362, ""subsample"": 0.5784206954689304}",bluetooth,refine,ok,0.9980233907699585,13,0.9806934195896088,0.009139097057210747,0.9926049878859992,0.98979800040808,0.9717548076923077
1,0.1687556211836636,0.0,138,xgboost,0.8865641585005375,"{""colsample_bytree"": 0.8011033803353407, ""gamma"": 0.5522233284078486, ""learning_rate"": 0.051429400027075425, ""max_bin"": 256, ""max_depth"": 5, ""min_child_weight"": 0.7395058613906438, ""n_estimators"": 2113, ""reg_alpha"": 0.0004705338103588273, ""reg_lambda"": 0.0069376757439928586, ""subsample"": 0.6053461454985893}",bluetooth,refine,ok,0.9993022680282593,14,0.9256920576559294,0.00881922866020837,0.9812877489338346,0.9890122402504982,0.8699919871794872
1,0.12448101094923913,0.0,52,xgboost,1.0453742926329086,"{""colsample_bytree"": 0.8472076426003419, ""gamma"": 1.814256879910219, ""learning_rate"": 0.1041671345523207, ""max_bin"": 512, ""max_depth"": 6, ""min_child_weight"": 0.7444136480868488, ""n_estimators"": 2191, ""reg_alpha"": 0.001423295005118899, ""reg_lambda"": 0.011268098003840914, ""subsample"": 0.563196022388576}",bluetooth,refine,ok,0.998250424861908,15,0.9960029161115161,4.5695485286053735e-05,0.9965666274850614,0.999949522992277,0.9920873397435898
1,0.3445820431225002,0.0,32,xgboost,0.04670565009987123,"{""colsample_bytree"": 0.8876791812839439, ""gamma"": 0.8819591586629185, ""learning_rate"": 0.21783719422814854, ""max_bin"": 256, ""max_depth"": 5, ""min_child_weight"": 0.7061972057358257, ""n_estimators"": 2215, ""reg_alpha"": 0.0050063587098330125, ""reg_lambda"": 0.005525247538038887, ""subsample"": 0.6993506580865136}",bluetooth,refine,ok,inf,16,0.0,0.0,0.9341130019974245,0.0,0.0
1,0.09452384011819959,0.0,5,xgboost,1.045147874597802,"{""colsample_bytree"": 0.7296074865172463, ""gamma"": 1.5812597108451438, ""learning_rate"": 0.12348309384391087, ""max_bin"": 256, ""max_depth"": 6, ""min_child_weight"": 1.0504238047681906, ""n_estimators"": 2304, ""reg_alpha"": 0.0022480473842324124, ""reg_lambda"": 0.01144715828143662, ""subsample"": 0.6708574436416577}",bluetooth,refine,ok,0.7061449289321899,17,0.9953713020728516,0.0,0.9955314504990096,1.0,0.9907852564102564
1,0.12978212116286159,0.0,79,xgboost,0.9665778328247582,"{""colsample_bytree"": 0.8643760510322998, ""gamma"": 2.3611693278666612, ""learning_rate"": 0.07256741566848132, ""max_bin"": 256, ""max_depth"": 8, ""min_child_weight"": 1.0494965602587336, ""n_estimators"": 2802, ""reg_alpha"": 0.001734272955618038, ""reg_lambda"": 0.01404996300437343, ""subsample"": 0.6368475304355141}",bluetooth,refine,ok,0.9982398748397827,18,0.9912302681032322,0.007402668616340705,0.9874850176986584,0.9918764416808745,0.9905849358974359
1,10.910019310191274,0.0,3806,catboost,1.0496954939084346,"{""bagging_temperature"": 5.5023497381668225, ""border_count"": 64, ""depth"": 6, ""iterations"": 4096, ""l2_leaf_reg"": 26.70783005970333, ""learning_rate"": 0.10513401490614928, ""random_strength"": 1.1030041304926295}",bluetooth,coarse,ok,0.9993987341410261,1,0.9996994289149383,0.0,0.9999212998699238,1.0,0.9993990384615384
1,2.4260074531193823,0.0,0,catboost,1.05,"{""bagging_temperature"": 0.21583783384525823, ""border_count"": 128, ""depth"": 10, ""iterations"": 4032, ""l2_leaf_reg"": 25.4139097674536, ""learning_rate"": 0.1149031460077298, ""random_strength"": 2.651899797847663}",bluetooth,coarse,ok,0.5101750683542801,2,1.0,0.0,1.0,1.0,1.0
1,3.8576569291763008,0.0,1051,catboost,1.048883609532468,"{""bagging_temperature"": 2.4489243597075063, ""border_count"": 254, ""depth"": 5, ""iterations"": 2551, ""l2_leaf_reg"": 1.3260427784795872, ""learning_rate"": 0.030584065319747507, ""random_strength"": 1.8367769821072344}",bluetooth,coarse,ok,0.9996536903911517,3,0.9997996594210157,9.139097057210747e-05,0.9999571963434725,0.9998998196754157,0.9996995192307693
1,1.2770500348415226,0.0,7,catboost,1.0352692173936262,"{""bagging_temperature"": 5.512568752193931, ""border_count"": 128, ""depth"": 6, ""iterations"": 3513, ""l2_leaf_reg"": 13.127449435679402, ""learning_rate"": 0.030685514549604772, ""random_strength"": 0.17197467156062654}",bluetooth,coarse,ok,0.8535025123500994,4,0.9857781389678992,0.0,0.9898215685145395,1.0,0.9719551282051282
1,1.6181513350456953,0.0,0,catboost,1.05,"{""bagging_temperature"": 5.392163603865976, ""border_count"": 254, ""depth"": 8, ""iterations"": 4126, ""l2_leaf_reg"": 2.4401764144818348, ""learning_rate"": 0.07182687352702657, ""random_strength"": 7.834911570714412}",bluetooth,coarse,ok,0.5341467062151479,5,1.0,0.0,1.0,1.0,1.0
1,1.5522119777742773,0.0,0,catboost,1.05,"{""bagging_temperature"": 1.9712447635527313, ""border_count"": 254, ""depth"": 8, ""iterations"": 2367, ""l2_leaf_reg"": 1.6491049045550008, ""learning_rate"": 0.02017265685914492, ""random_strength"": 5.592218265341815}",bluetooth,coarse,ok,0.5114926557152942,6,1.0,0.0,1.0,1.0,1.0
1,1.979099415941164,0.0,0,catboost,1.05,"{""bagging_temperature"": 1.7117723170513606, ""border_count"": 254, ""depth"": 9, ""iterations"": 2996, ""l2_leaf_reg"": 24.72743680395678, ""learning_rate"": 0.024120390854526264, ""random_strength"": 1.7402035583981705}",bluetooth,coarse,ok,0.5021893654256663,7,1.0,0.0,1.0,1.0,1.0
1,1.5872485230211169,0.0,50,catboost,1.049974957679725,"{""bagging_temperature"": 0.7766090679682467, ""border_count"": 128, ""depth"": 7, ""iterations"": 2591, ""l2_leaf_reg"": 1.4904725586044199, ""learning_rate"": 0.022360366781648194, ""random_strength"": 0.07324471432463182}",bluetooth,coarse,ok,0.9536087182630008,8,0.9999749593088769,0.0,0.9999999674169627,1.0,0.9999499198717948
1,1.2391860249917954,0.0,0,catboost,1.0416082627927827,"{""bagging_temperature"": 2.4013133500360566, ""border_count"": 64, ""depth"": 5, ""iterations"": 3378, ""l2_leaf_reg"": 2.093675830493489, ""learning_rate"": 0.1836208150813254, ""random_strength"": 0.17414879793537233}",bluetooth,coarse,ok,0.8008321714461664,9,0.9918970087088225,0.0,0.9942250816792051,1.0,0.9839242788461539
1,1.3654310589190573,0.0,0,catboost,1.05,"{""bagging_temperature"": 5.174541851460715, ""border_count"": 128, ""depth"": 7, ""iterations"": 4599, ""l2_leaf_reg"": 2.432702186060962, ""learning_rate"": 0.08047360070747082, ""random_strength"": 2.723594747494427}",bluetooth,coarse,ok,0.6209628685640464,10,1.0,0.0,1.0,1.0,1.0
1,38.45139694400132,0.0,3111,catboost,1.0498479072165796,"{""bagging_temperature"": 2.1140375606977155, ""border_count"": 64, ""depth"": 10, ""iterations"": 3405, ""l2_leaf_reg"": 1.5119844403848741, ""learning_rate"": 0.1563847911132937, ""random_strength"": 0.05007553063921258}",bluetooth,coarse,ok,0.9997718211641553,11,0.9998497370398197,0.0,0.999963403535197,1.0,0.9996995192307693
1,16.260869052028283,0.0,1394,catboost,1.0487848602977963,"{""bagging_temperature"": 5.969737377557617, ""border_count"": 128, ""depth"": 10, ""iterations"": 1400, ""l2_leaf_reg"": 1.372975214366038, ""learning_rate"": 0.08302732694189899, ""random_strength"": 0.09314852001385458}",bluetooth,coarse,ok,0.9995027540449066,12,0.9996994590262472,9.139097057210747e-05,0.9999862195454049,0.9998997995991984,0.9994991987179487
1,1.8724336640443653,0.0,0,catboost,1.05,"{""bagging_temperature"": 0.764377392864013, ""border_count"": 128, ""depth"": 9, ""iterations"": 4856, ""l2_leaf_reg"": 23.222284112519105, ""learning_rate"": 0.18919509818908228, ""random_strength"": 4.360173226783022}",bluetooth,refine,ok,0.5181555928698881,13,1.0,0.0,1.0,1.0,1.0
1,4.1273241471499205,0.0,0,catboost,1.05,"{""bagging_temperature"": 0.0, ""border_count"": 128, ""depth"": 11, ""iterations"": 4396, ""l2_leaf_reg"": 51.846324270976176, ""learning_rate"": 0.18261029758057076, ""random_strength"": 5.728232499921573}",bluetooth,refine,ok,0.5083556507539589,14,1.0,0.0,1.0,1.0,1.0
