error,feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
,1,4.887510509928688,0.0,942,xgboost,1.0494209534471748,"{""colsample_bytree"": 0.6834739824011143, ""gamma"": 0.0006117332608186132, ""learning_rate"": 0.014774716260253125, ""max_bin"": 256, ""max_depth"": 11, ""min_child_weight"": 2.8214801376928205, ""n_estimators"": 943, ""reg_alpha"": 0.0021844744293610815, ""reg_lambda"": 0.02049231785046605, ""subsample"": 0.7426987923151214}",coarse,ok,0.43790116906166077,1,0.9994210579211025,0.002944209720882265,0.9999979105214446,0.9997493730787039,0.9990929583284397
,1,3.035526183201,0.0,966,xgboost,1.049384519964326,"{""colsample_bytree"": 0.7679450025859053, ""gamma"": 0.0005426753134289309, ""learning_rate"": 0.03125845869656372, ""max_bin"": 384, ""max_depth"": 5, ""min_child_weight"": 1.2763689454333542, ""n_estimators"": 967, ""reg_alpha"": 0.21320547399898826, ""reg_lambda"": 0.015013688152061472, ""subsample"": 0.8299451298273495}",coarse,ok,0.42712733149528503,2,0.9993846297569553,0.0037759073821484416,0.999997804147413,0.9996785965856196,0.9990908357660258
,1,8.969968259101734,0.0,2415,xgboost,1.0494057151094816,"{""colsample_bytree"": 0.8863642291610792, ""gamma"": 0.01064686157588154, ""learning_rate"": 0.01348794441618804, ""max_bin"": 384, ""max_depth"": 11, ""min_child_weight"": 14.192085864392192, ""n_estimators"": 2416, ""reg_alpha"": 0.0004614453994064115, ""reg_lambda"": 2.8634061948866343, ""subsample"": 0.6902941886085525}",coarse,ok,0.5151419043540955,3,0.9994058199914146,0.0027030173991150737,0.9999979023613396,0.9997698882081514,0.9990420168305049
,1,3.092994722072035,0.0,973,xgboost,1.049286039426265,"{""colsample_bytree"": 0.7756304419018736, ""gamma"": 0.010197109530137588, ""learning_rate"": 0.023580628045379474, ""max_bin"": 512, ""max_depth"": 5, ""min_child_weight"": 14.572090599201577, ""n_estimators"": 974, ""reg_alpha"": 0.17361667626210894, ""reg_lambda"": 20.177124914221068, ""subsample"": 0.7192700113862169}",coarse,ok,0.44608911871910095,4,0.999286193308195,0.0039089790079510295,0.9999969223614016,0.9996672116371134,0.9989054653152076
,1,3.282096795970574,0.0,965,xgboost,1.0493870404203145,"{""colsample_bytree"": 0.7850716766850643, ""gamma"": 1.2295551104617113, ""learning_rate"": 0.020154230959991054, ""max_bin"": 512, ""max_depth"": 6, ""min_child_weight"": 1.7988792816556647, ""n_estimators"": 966, ""reg_alpha"": 0.24212010918812873, ""reg_lambda"": 0.4349078476193845, ""subsample"": 0.9009286695297085}",coarse,ok,0.3916594088077545,5,0.9993871464946337,0.0045078013240626765,0.9999978785136161,0.9996163478295339,0.9991580502424674
,1,7.840993684949353,0.0,2711,xgboost,1.0493858847580675,"{""colsample_bytree"": 0.8936080769482615, ""gamma"": 0.011905407248447032, ""learning_rate"": 0.012364457292298046, ""max_bin"": 512, ""max_depth"": 6, ""min_child_weight"": 14.340716290992958, ""n_estimators"": 2712, ""reg_alpha"": 1.173933731745161, ""reg_lambda"": 4.828191274180945, ""subsample"": 0.844983998642782}",coarse,ok,0.4977809190750122,6,0.9993859930686226,0.002761236235403706,0.9999978337888956,0.9997649249636236,0.9990073483110771
,1,7.721217802958563,0.0,1342,xgboost,1.0494790664241056,"{""colsample_bytree"": 0.714161092841643, ""gamma"": 0.00043506134849613835, ""learning_rate"": 0.015027937199445045, ""max_bin"": 512, ""max_depth"": 11, ""min_child_weight"": 1.488149665673659, ""n_estimators"": 2872, ""reg_alpha"": 0.5928312629191955, ""reg_lambda"": 0.009082218890464316, ""subsample"": 0.7825840243442257}",coarse,ok,0.4198460578918457,7,0.9994791475003326,0.0034764962240926177,0.9999983784754617,0.9997041231640418,0.9992542730718997
,1,8.408506128937006,0.0,2885,xgboost,1.0494216460715162,"{""colsample_bytree"": 0.7990920531756751, ""gamma"": 0.0025562191486674635, ""learning_rate"": 0.024484665255797393, ""max_bin"": 256, ""max_depth"": 6, ""min_child_weight"": 1.024401911701966, ""n_estimators"": 3189, ""reg_alpha"": 0.0038922778083282424, ""reg_lambda"": 6.037072424616105, ""subsample"": 0.820227604984015}",coarse,ok,0.5020408630371094,8,0.9994217525780492,0.0026697494926644265,0.9999978698693385,0.9997727263072486,0.9990710251834956
,1,4.220923819113523,0.0,920,xgboost,1.049411750315261,"{""colsample_bytree"": 0.8739094108189136, ""gamma"": 0.013015043272012502, ""learning_rate"": 0.05392187291919363, ""max_bin"": 384, ""max_depth"": 10, ""min_child_weight"": 12.97192757323592, ""n_estimators"": 1573, ""reg_alpha"": 0.33228086378248967, ""reg_lambda"": 0.006533805153263175, ""subsample"": 0.6824771984610077}",coarse,ok,0.513788640499115,9,0.9994118546325471,0.0030024285571708972,0.9999979136542755,0.9997444150077242,0.9990795154331513
,1,6.140303198015317,0.0,2488,xgboost,1.0492853486670706,"{""colsample_bytree"": 0.972416883071382, ""gamma"": 0.16527014429632583, ""learning_rate"": 0.012541319281290255, ""max_bin"": 512, ""max_depth"": 4, ""min_child_weight"": 12.17075874709994, ""n_estimators"": 2489, ""reg_alpha"": 9.726906250186778, ""reg_lambda"": 0.003757305240248371, ""subsample"": 0.7289373550062089}",coarse,ok,0.43830540776252747,10,0.9992855006891963,0.0041668052829435445,0.9999969595574864,0.9996452768362942,0.9989259834185424
,1,8.646715469891205,0.0,1838,xgboost,1.0494574456383117,"{""colsample_bytree"": 0.9239276333473672, ""gamma"": 0.1388879569353557, ""learning_rate"": 0.01292951434229814, ""max_bin"": 384, ""max_depth"": 10, ""min_child_weight"": 1.6404494089232275, ""n_estimators"": 2745, ""reg_alpha"": 0.004834807732129761, ""reg_lambda"": 0.01498969182942439, ""subsample"": 0.6654853285221191}",coarse,ok,0.4575750529766083,11,0.9994575338917467,0.0030939152999101766,0.9999982349312968,0.9997366552527013,0.9991785683458022
,1,2.564546989975497,0.0,948,xgboost,1.0493338321808967,"{""colsample_bytree"": 0.926032658901123, ""gamma"": 3.8299594935698043, ""learning_rate"": 0.03703015902718362, ""max_bin"": 512, ""max_depth"": 6, ""min_child_weight"": 5.68676906157469, ""n_estimators"": 954, ""reg_alpha"": 0.26701544786892484, ""reg_lambda"": 0.6227135548036545, ""subsample"": 0.7986238093153007}",coarse,ok,0.4517724812030792,12,0.9993339637438458,0.0032519378555507504,0.999997368741019,0.9997231438957831,0.9989450864802679
,1,8.489076882135123,0.0,1871,xgboost,1.0494436343443614,"{""colsample_bytree"": 0.7138108714592539, ""gamma"": 0.00016153732918906656, ""learning_rate"": 0.010911954765026308, ""max_bin"": 384, ""max_depth"": 10, ""min_child_weight"": 2.6117067158687126, ""n_estimators"": 2332, ""reg_alpha"": 0.37910894182896193, ""reg_lambda"": 0.020896263274575794, ""subsample"": 0.657792626055623}",refine,ok,0.4675182104110718,13,0.9994437245261574,0.003068964370072191,0.9999981963640798,0.9997387706788847,0.9991488524720069
