split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_xgboost_balanced,0.1,4000,0.0,845.0,845.0,0.21125,1345.0,0.33625,500.0,0.21125,candidate_model,candidate_model:warm_mqtt_xgboost,188712,47.178,48.0,1.84725,0,0,0,0.0,6,0,0,0,0,,,,
train_mqtt_xgboost_balanced,0.1,4000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_xgboost,191784,47.946,48.0,1.539,0,0,0,0.0,4,0,0,0,0,4000.0,12.0,0.003,0.997
val_mqtt_xgboost,0.1,1500,0.0,4.0,4.0,0.0026666666666666666,4.0,0.0026666666666666666,0.0,0.0026666666666666666,candidate_model,candidate_model:robust_mqtt_xgboost,71976,47.984,48.0,1.888,0,0,0,0.0,6,0,0,0,0,,,,
val_mqtt_xgboost,0.1,1500,,,,,,,,,candidate_model,candidate_model:robust_mqtt_xgboost,72000,48.0,48.0,1.7626666666666666,0,0,0,0.0,1,0,0,0,0,1500.0,0.0,0.0,1.0
