case_id,protocol_used,feature,contribution,abs_contribution,direction,bias
bluetooth_TP_001,bluetooth,Tot sum,4.361215591430664,4.361215591430664,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Tot size,1.0801161527633667,1.0801161527633667,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Max,0.6475880742073059,0.6475880742073059,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Number,0.2700241506099701,0.2700241506099701,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Header_Length,0.2049594223499298,0.2049594223499298,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Min,0.1833387166261673,0.1833387166261673,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,IAT,0.10401631891727448,0.10401631891727448,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Rate,0.05834616720676422,0.05834616720676422,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Std,-0.008477870374917984,0.008477870374917984,benign,-0.024201517924666405
bluetooth_TP_001,bluetooth,Drate,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Protocol Type,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Duration,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,Srate,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,cwr_flag_number,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_001,bluetooth,ece_flag_number,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Tot sum,4.319309711456299,4.319309711456299,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Tot size,1.0801161527633667,1.0801161527633667,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Max,0.6651138067245483,0.6651138067245483,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Number,0.2700241506099701,0.2700241506099701,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Header_Length,0.2049594223499298,0.2049594223499298,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Min,0.1833387166261673,0.1833387166261673,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,IAT,0.12839633226394653,0.12839633226394653,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Rate,0.05834616720676422,0.05834616720676422,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Std,-0.008477870374917984,0.008477870374917984,benign,-0.024201517924666405
bluetooth_TP_002,bluetooth,Drate,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Protocol Type,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Duration,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,Srate,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,cwr_flag_number,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_002,bluetooth,ece_flag_number,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Tot sum,4.319309711456299,4.319309711456299,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Tot size,1.0801161527633667,1.0801161527633667,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Max,0.6651138067245483,0.6651138067245483,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Number,0.2700241506099701,0.2700241506099701,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Header_Length,0.2049594223499298,0.2049594223499298,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Min,0.1833387166261673,0.1833387166261673,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,IAT,0.12839633226394653,0.12839633226394653,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Rate,0.05834616720676422,0.05834616720676422,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Std,-0.008477870374917984,0.008477870374917984,benign,-0.024201517924666405
bluetooth_TP_003,bluetooth,Drate,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Protocol Type,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Duration,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,Srate,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,cwr_flag_number,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_003,bluetooth,ece_flag_number,0.0,0.0,attack,-0.024201517924666405
bluetooth_TP_004,bluetooth,Tot sum,4.361215591430664,4.361215591430664,attack,-0.024201517924666405
bluetooth_TP_004,bluetooth,Tot size,1.0801161527633667,1.0801161527633667,attack,-0.024201517924666405
bluetooth_TP_004,bluetooth,Max,0.6475880742073059,0.6475880742073059,attack,-0.024201517924666405
