split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_xgboost_bluetooth_recovery_e,0.1,8000,1.0,3036.0,3035.0,0.379375,3535.0,0.441875,500.0,0.3795,fixed_xgb,fixed_xgb:wifi_base,782680,97.835,128.0,0.810625,12,12,2994.9166666666665,4096.0,4096,4096,2,5e-05,0,False,0,0,0,0.0,2,0,0,0,0,,,,
train_wifi_xgboost_bluetooth_recovery_e,0.1,30000,,,,,,,,,fixed_xgb,fixed_xgb:wifi_base,1549664,51.65546666666667,120.0,1.9604,16,16,4096.0,4096.0,4096,4096,2,5e-05,0,False,0,0,0,0.0,327,0,0,0,0,29977.0,19.0,0.0006333333333333333,0.9986
val_wifi_xgboost,0.1,2029,0.0,112.0,112.0,0.05519960571710202,112.0,0.05519960571710202,0.0,0.05519960571710202,fixed_xgb,fixed_xgb:wifi_base,250736,123.57614588467226,128.0,0.11187777230162642,6,6,1954.3333333333333,2017.5,2029,4096,2,5e-05,0,False,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_xgboost,0.1,9357,,,,,,,,,fixed_xgb,fixed_xgb:wifi_base,1187920,126.95522069039222,128.0,4.608955861921556,16,16,3477.75,4096.0,4096,4096,2,5e-05,0,False,0,0,0,0.0,372,0,0,0,0,9298.0,7.0,0.0007481030244736561,0.9929464571978198
