split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_xgboost_bluetooth_recovery_e,0.1,8000,38.0,2607.0,2569.0,0.321125,3069.0,0.383625,500.0,0.325875,candidate_model,candidate_model:warm_wifi_xgboost,638688,79.836,96.0,0.67325,3,3,6653.0,7794.4,7962,0,0,1e-06,0,False,0,0,0,0.0,1,0,0,0,0,,,,
train_wifi_xgboost_bluetooth_recovery_e,0.1,8000,,,,,,,,,candidate_model,candidate_model:warm_wifi_xgboost,767040,95.88,96.0,2.8645,3,3,7990.0,7994.3,7995,0,0,1e-06,0,False,0,0,0,0.0,192,0,0,0,0,7995.0,10.0,0.00125,0.998125
val_wifi_xgboost,0.1,2029,14.0,43.0,29.0,0.01429275505174963,29.0,0.01429275505174963,0.0,0.021192705766387383,candidate_model,candidate_model:robust_wifi_xgboost,192544,94.89600788565797,96.0,0.15574174470182356,3,3,2005.6666666666667,2014.0,2015,0,0,1e-06,0,False,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_xgboost,0.1,3000,,,,,,,,,candidate_model,candidate_model:robust_wifi_xgboost,285984,95.328,96.0,2.873,3,1,2979.0,2982.4,2983,0,0,1e-06,2,False,0,0,0,0.0,23,0,0,0,0,2983.0,6.0,0.002,0.9923333333333333
