split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_catboost_bluetooth_recovery_e,0.1,4000,0.0,194.0,194.0,0.0485,694.0,0.1735,500.0,0.0485,candidate_model,candidate_model:warm_mqtt_catboost,190872,47.718,48.0,1.86775,0,0,0,0.0,20,0,0,0,0,,,,
train_mqtt_catboost_bluetooth_recovery_e,0.1,4000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_catboost,191736,47.934,48.0,1.76425,0,0,0,0.0,48,0,0,0,0,4000.0,19.0,0.00475,0.99525
val_mqtt_catboost,0.1,1500,0.0,6.0,6.0,0.004,6.0,0.004,0.0,0.004,candidate_model,candidate_model:robust_mqtt_catboost,71976,47.984,48.0,1.8366666666666667,0,0,0,0.0,6,0,0,0,0,,,,
val_mqtt_catboost,0.1,1500,,,,,,,,,candidate_model,candidate_model:robust_mqtt_catboost,71592,47.728,48.0,1.7753333333333334,0,0,0,0.0,0,0,0,0,0,1496.0,18.0,0.012,0.9853333333333333
