split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_xgboost_bluetooth_recovery_e,0.1,8000,0.0,2863.0,2863.0,0.357875,3363.0,0.420375,500.0,0.357875,candidate_model,candidate_model:warm_mqtt_xgboost,710144,88.768,96.0,2.605375,3,3,7397.333333333333,7974.8,8000,0,0,1e-06,0,False,0,0,0,0.0,16,0,0,0,0,,,,
train_mqtt_xgboost_bluetooth_recovery_e,0.1,8000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_xgboost,766464,95.808,96.0,2.389625,3,3,7984.0,7997.8,8000,0,0,1e-06,0,False,0,0,0,0.0,20,0,0,0,0,8000.0,28.0,0.0035,0.9965
val_mqtt_xgboost,0.1,3000,2.0,53.0,51.0,0.017,51.0,0.017,0.0,0.017666666666666667,candidate_model,candidate_model:robust_mqtt_xgboost,286912,95.63733333333333,96.0,2.825,3,3,2988.6666666666665,2997.3,2998,0,0,1e-06,0,False,0,0,0,0.0,7,0,0,0,0,,,,
val_mqtt_xgboost,0.1,3000,,,,,,,,,candidate_model,candidate_model:robust_mqtt_xgboost,288000,96.0,96.0,2.6326666666666667,3,3,3000.0,3000.0,3000,0,0,1e-06,0,False,0,0,0,0.0,3,0,0,0,0,3000.0,0.0,0.0,1.0
