split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,queries_total,queries_mean,queries_p95,accepted_moves_mean,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_fpr_priority,0.1,64,0.0,1.0,1.0,0.015625,1.0,0.015625,0.0,0.015625,254,3.96875,4.0,0.046875,0,0,0,0.0,0,0,0,0,0,,,,
val_fpr_priority,0.1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,4.0,4.0,0.03125,0,0,0,0.0,0,0,0,0,0,,,,
val_fpr_priority,0.1,32,,,,,,,,,128,4.0,4.0,0.90625,0,0,0,0.0,0,0,0,0,0,32.0,0.0,0.0,1.0
