split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_bluetooth_catboost_recall_priority_control,0.1,8000,0.0,0.0,0.0,0.0,500.0,0.0625,500.0,0.0,candidate_model,candidate_model:warm_bluetooth_catboost,1536000,192.0,192.0,3.9505,6,4,8000.0,8000.0,8000,0,0,1e-06,0,False,0,0,0,0.0,8,0,0,0,0,,,,
train_bluetooth_catboost_recall_priority_control,0.1,12000,,,,,,,,,candidate_model,candidate_model:warm_bluetooth_catboost,1631264,135.93866666666668,192.0,4.207333333333334,6,6,8496.166666666666,11931.75,11994,0,0,1e-06,0,False,0,0,0,0.0,93,0,0,0,0,11994.0,8184.0,0.682,0.3175
val_bluetooth_catboost,0.1,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,candidate_model,candidate_model:robust_bluetooth_catboost,1152000,192.0,192.0,4.912333333333334,6,6,6000.0,6000.0,6000,0,0,1e-06,0,False,0,0,0,0.0,11,0,0,0,0,,,,
val_bluetooth_catboost,0.1,6000,,,,,,,,,candidate_model,candidate_model:robust_bluetooth_catboost,1143936,190.656,192.0,5.926,6,6,5958.0,5992.0,5995,0,0,1e-06,0,False,0,0,0,0.0,125,0,0,0,0,5995.0,71.0,0.011833333333333333,0.9873333333333333
