split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_catboost_balanced,0.1,12000,0.0,4765.0,4765.0,0.39708333333333334,5265.0,0.43875,500.0,0.39708333333333334,candidate_model,candidate_model:warm_wifi_catboost,1696640,141.38666666666666,192.0,0.8261666666666667,6,6,8836.666666666666,11490.5,12000,0,0,1e-06,0,False,0,0,0,0.0,13,0,0,0,0,,,,
train_wifi_catboost_balanced,0.1,12000,,,,,,,,,candidate_model,candidate_model:warm_wifi_catboost,2301984,191.832,192.0,5.767833333333333,6,6,11989.5,11997.25,12000,0,0,1e-06,0,False,0,0,0,0.0,170,0,0,0,0,12000.0,13.0,0.0010833333333333333,0.9989166666666667
val_wifi_catboost,0.1,2029,5.0,22.0,17.0,0.008378511582060127,17.0,0.008378511582060127,0.0,0.010842779694430755,candidate_model,candidate_model:robust_wifi_catboost,387392,190.92755051749631,192.0,0.31789058649581076,6,6,2017.6666666666667,2023.75,2024,0,0,1e-06,0,False,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_catboost,0.1,6000,,,,,,,,,candidate_model,candidate_model:robust_wifi_catboost,1141952,190.32533333333333,192.0,5.684,6,2,5947.666666666667,5949.5,5950,0,0,1e-06,4,False,0,0,0,0.0,183,0,0,0,0,5950.0,3.0,0.0005,0.9911666666666666
