split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_mlp_bluetooth_recovery_e,0.1,4000,0.0,1.0,1.0,0.00025,501.0,0.12525,500.0,0.00025,candidate_model,candidate_model:warm_mqtt_mlp,192000,48.0,48.0,1.8855,0,0,0,0.0,3,0,0,0,0,,,,
train_mqtt_mlp_bluetooth_recovery_e,0.1,4000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_mlp,190656,47.664,48.0,1.62025,0,0,0,0.0,3,0,0,0,0,3972.0,0.0,0.0,0.993
val_mqtt_mlp,0.1,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,candidate_model,candidate_model:robust_mqtt_mlp,72000,48.0,48.0,1.8893333333333333,0,0,0,0.0,3,0,0,0,0,,,,
val_mqtt_mlp,0.1,1500,,,,,,,,,candidate_model,candidate_model:robust_mqtt_mlp,27984,18.656,48.0,0.6586666666666666,0,0,0,0.0,0,0,0,0,0,595.0,41.0,0.027333333333333334,0.36933333333333335
