split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_catboost_bluetooth_recovery_e,0.1,12000,0.0,4808.0,4808.0,0.40066666666666667,5308.0,0.44233333333333336,500.0,0.40066666666666667,candidate_model,candidate_model:warm_wifi_catboost,1676576,139.71466666666666,192.0,0.7745,6,6,8732.166666666666,11513.75,12000,0,0,1e-06,0,False,0,0,0,0.0,2,0,0,0,0,,,,
train_wifi_catboost_bluetooth_recovery_e,0.1,12000,,,,,,,,,candidate_model,candidate_model:warm_wifi_catboost,2301920,191.82666666666665,192.0,5.76525,6,6,11989.166666666666,11996.75,12000,0,0,1e-06,0,False,0,0,0,0.0,119,0,0,0,0,12000.0,13.0,0.0010833333333333333,0.9989166666666667
val_wifi_catboost,0.1,2029,3.0,25.0,22.0,0.010842779694430755,22.0,0.010842779694430755,0.0,0.01232134056185313,candidate_model,candidate_model:robust_wifi_catboost,387072,190.76983735830458,192.0,0.3095120749137506,6,6,2016.0,2025.5,2026,0,0,1e-06,0,False,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_catboost,0.1,6000,,,,,,,,,candidate_model,candidate_model:robust_wifi_catboost,1144096,190.68266666666668,192.0,5.692333333333333,6,1,5958.833333333333,5961.75,5963,0,0,1e-06,5,False,0,0,0,0.0,589,0,0,0,0,5963.0,5.0,0.0008333333333333334,0.993
