iter	Passed	Remaining
405	7450	20074
406	7466	20050
407	7483	20030
408	7504	20018
409	7523	20001
410	7542	19985
411	7559	19962
412	7583	19958
413	7599	19934
414	7614	19907
415	7631	19885
416	7647	19861
417	7667	19846
418	7682	19820
419	7698	19795
420	7715	19775
421	7734	19756
422	7753	19742
423	7769	19717
424	7790	19705
425	7808	19685
426	7827	19668
427	7845	19649
428	7861	19626
429	7882	19615
430	7905	19609
431	7924	19591
432	7942	19570
433	7957	19546
434	7976	19527
435	8000	19523
436	8016	19501
437	8038	19490
438	8057	19472
439	8073	19450
440	8093	19434
441	8109	19411
442	8125	19388
443	8147	19378
444	8167	19363
445	8184	19341
446	8200	19318
447	8217	19296
448	8242	19293
449	8260	19273
450	8279	19256
451	8298	19239
452	8314	19217
453	8331	19196
454	8349	19176
455	8372	19168
456	8388	19144
457	8406	19126
458	8424	19105
459	8443	19089
460	8463	19074
461	8482	19057
462	8498	19034
463	8515	19012
464	8533	18992
465	8549	18971
466	8565	18947
467	8586	18935
468	8603	18912
469	8622	18895
470	8640	18877
471	8657	18855
472	8675	18837
473	8696	18823
474	8717	18810
475	8736	18795
476	8755	18776
477	8772	18756
478	8788	18732
479	8811	18724
480	8829	18705
481	8847	18685
482	8869	18674
483	8889	18661
484	8909	18645
485	8927	18626
486	8944	18605
487	8961	18584
488	8981	18568
489	9000	18552
490	9020	18537
491	9037	18514
492	9053	18491
493	9072	18476
494	9094	18464
495	9111	18443
496	9128	18421
497	9144	18398
498	9161	18378
499	9178	18356
500	9197	18339
501	9212	18315
502	9233	18302
503	9251	18282
504	9268	18260
505	9287	18244
506	9303	18222
507	9321	18202
508	9340	18186
509	9360	18170
510	9381	18156
511	9397	18133
512	9413	18111
513	9431	18092
514	9448	18071
515	9467	18053
516	9483	18030
517	9499	18008
518	9516	17987
519	9532	17965
520	9553	17952
521	9572	17935
522	9589	17913
523	9611	17901
524	9626	17878
525	9650	17869
526	9670	17853
527	9686	17832
528	9706	17816
529	9723	17795
530	9744	17782
531	9762	17763
532	9782	17748
533	9799	17726
534	9818	17709
535	9836	17690
536	9855	17673
537	9872	17653
538	9897	17646
539	9917	17631
540	9936	17614
541	9953	17592
542	9972	17575
543	9990	17556
544	10007	17536
545	10026	17519
546	10042	17497
547	10061	17478
548	10079	17459
549	10099	17444
550	10121	17432
551	10137	17409
552	10153	17387
553	10172	17370
554	10188	17348
555	10207	17330
556	10224	17309
557	10243	17292
558	10268	17286
559	10284	17262
560	10300	17241
561	10317	17220
562	10334	17199
563	10351	17178
564	10369	17159
565	10387	17141
566	10404	17120
567	10422	17101
568	10441	17084
569	10458	17063
570	10481	17052
571	10503	17039
572	10520	17019
573	10538	17001
574	10556	16982
575	10574	16962
576	10590	16941
577	10607	16919
578	10626	16902
579	10642	16881
580	10662	16865
581	10678	16843
582	10696	16824
583	10712	16803
584	10731	16784
585	10751	16769
586	10770	16752
587	10788	16732
588	10805	16713
589	10822	16691
590	10839	16671
591	10858	16654
592	10883	16647
593	10901	16627
594	10922	16613
595	10945	16602
596	10963	16583
597	10982	16565
598	10998	16543
599	11016	16525
600	11036	16508
601	11061	16499
602	11078	16480
603	11095	16459
604	11114	16441
605	11133	16425
606	11154	16409
607	11172	16391
608	11188	16369
609	11206	16350
610	11225	16333
611	11243	16313
612	11259	16292
613	11278	16274
614	11295	16254
615	11317	16241
616	11333	16219
617	11351	16200
618	11367	16179
619	11383	16156
620	11407	16146
621	11424	16127
622	11441	16106
623	11462	16090
624	11477	16068
625	11497	16052
626	11514	16032
627	11532	16013
628	11548	15991
629	11565	15970
630	11583	15952
631	11600	15932
632	11621	15918
633	11638	15897
634	11655	15876
635	11672	15857
636	11691	15839
637	11708	15819
638	11725	15798
639	11745	15782
640	11764	15765
641	11782	15747
642	11805	15734
643	11828	15722
644	11849	15707
645	11867	15687
646	11885	15670
647	11903	15651
648	11919	15629
649	11936	15609
650	11958	15595
651	11977	15577
652	11996	15560
653	12016	15543
654	12041	15534
655	12058	15514
656	12076	15494
657	12096	15478
658	12118	15465
659	12134	15444
660	12152	15424
661	12175	15413
662	12192	15392
663	12209	15372
664	12230	15357
665	12248	15338
666	12265	15318
667	12281	15296
668	12301	15280
669	12317	15258
670	12334	15239
671	12351	15219
672	12371	15202
673	12387	15181
674	12403	15160
675	12421	15140
676	12437	15119
677	12454	15099
678	12473	15082
679	12494	15066
680	12516	15052
681	12531	15030
682	12548	15010
683	12567	14992
684	12585	14973
685	12603	14954
686	12623	14938
687	12639	14917
688	12659	14901
689	12676	14880
690	12698	14867
691	12714	14845
692	12730	14824
693	12746	14803
694	12765	14786
695	12784	14767
696	12801	14748
697	12817	14726
698	12833	14706
699	12850	14686
700	12869	14668
701	12886	14648
