split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_xgboost_bluetooth_recovery_e,0.1,8000,0.0,3084.0,3084.0,0.3855,3584.0,0.448,500.0,0.3855,candidate_model,candidate_model:warm_mqtt_xgboost,698752,87.344,96.0,2.554,3,3,7278.666666666667,7970.1,8000,0,0,1e-06,0,False,0,0,0,0.0,11,0,0,0,0,,,,
train_mqtt_xgboost_bluetooth_recovery_e,0.1,8000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_xgboost,766784,95.848,96.0,2.3425,3,3,7987.333333333333,7998.4,8000,0,0,1e-06,0,False,0,0,0,0.0,24,0,0,0,0,8000.0,24.0,0.003,0.997
val_mqtt_xgboost,0.1,3000,0.0,31.0,31.0,0.010333333333333333,31.0,0.010333333333333333,0.0,0.010333333333333333,candidate_model,candidate_model:robust_mqtt_xgboost,287584,95.86133333333333,96.0,2.828333333333333,3,3,2995.6666666666665,2999.7,3000,0,0,1e-06,0,False,0,0,0,0.0,1,0,0,0,0,,,,
val_mqtt_xgboost,0.1,3000,,,,,,,,,candidate_model,candidate_model:robust_mqtt_xgboost,288000,96.0,96.0,2.662,3,3,3000.0,3000.0,3000,0,0,1e-06,0,False,0,0,0,0.0,9,0,0,0,0,3000.0,0.0,0.0,1.0
