feasible,fit_seconds,fpr_gap,meta_best_iteration,model,objective,params_json,protocol_hint,stage,status,threshold,trial,val_f1,val_fpr,val_pr_auc,val_precision,val_recall
1,2.494822375010699,0.0,554,xgboost,0.9482303752421637,"{""colsample_bytree"": 0.7499770354260681, ""gamma"": 0.6579205673010109, ""learning_rate"": 0.06511178464258173, ""max_bin"": 256, ""max_depth"": 12, ""min_child_weight"": 1.4558865544191169, ""n_estimators"": 2310, ""reg_alpha"": 1.1879590456698481, ""reg_lambda"": 1.7522185965878738, ""subsample"": 0.7961146375155035}",wifi,coarse,ok,0.014246727339923382,1,0.9976924315979413,0.009946105983854925,0.9999800696554344,0.999740054673152,0.9956531790793891
1,1.4766168710775673,0.0,113,xgboost,0.9477779293441051,"{""colsample_bytree"": 0.6723475810228937, ""gamma"": 0.4139086274198729, ""learning_rate"": 0.11983499963810375, ""max_bin"": 256, ""max_depth"": 11, ""min_child_weight"": 3.4514961680164737, ""n_estimators"": 1873, ""reg_alpha"": 0.0539935368846297, ""reg_lambda"": 0.001985089035069668, ""subsample"": 0.7487862690454923}",wifi,coarse,ok,0.015404658392071724,2,0.9977024114574771,0.009992366941919368,0.9999837461164319,0.9997388514663309,0.9956742509259572
1,1.7840972628910094,0.0,214,xgboost,0.9629933135121334,"{""colsample_bytree"": 0.8269054437559336, ""gamma"": 0.0010621978175769221, ""learning_rate"": 0.014989957867107991, ""max_bin"": 384, ""max_depth"": 12, ""min_child_weight"": 43.00902070899418, ""n_estimators"": 1221, ""reg_alpha"": 0.05308353236870912, ""reg_lambda"": 2.9414169312209033, ""subsample"": 0.6832074990859714}",wifi,coarse,ok,0.19257016479969025,3,0.9974207564533892,0.008442624846760576,0.9999761105269985,0.9997792115250375,0.9950734022723879
1,1.4029792521614581,0.0,103,xgboost,0.9476719433606597,"{""colsample_bytree"": 0.7720690392437692, ""gamma"": 0.008000731071536963, ""learning_rate"": 0.14984861845525968, ""max_bin"": 512, ""max_depth"": 10, ""min_child_weight"": 26.804905353806447, ""n_estimators"": 1430, ""reg_alpha"": 0.007390399670890875, ""reg_lambda"": 0.020292967014166448, ""subsample"": 0.6851387713798003}",wifi,coarse,ok,0.01875433884561062,4,0.9975962814764044,0.009992366941919368,0.9999866260689771,0.9997387960432438,0.9954629304075174
1,2.130148416152224,0.0,510,xgboost,0.9475487825226219,"{""colsample_bytree"": 0.9494297203394987, ""gamma"": 0.060355170529566335, ""learning_rate"": 0.02628802809237505, ""max_bin"": 384, ""max_depth"": 4, ""min_child_weight"": 0.9801951884902622, ""n_estimators"": 987, ""reg_alpha"": 1.5480180194333426, ""reg_lambda"": 7.030923064701754, ""subsample"": 0.921321367669653}",wifi,coarse,ok,0.014857806265354156,5,0.997473493403748,0.009992366941919368,0.9999791707613476,0.9997387319062774,0.995218496987328
1,2.487359390128404,0.0,672,xgboost,0.9477078990142638,"{""colsample_bytree"": 0.9361549038083874, ""gamma"": 0.022798907403917264, ""learning_rate"": 0.060583462485342944, ""max_bin"": 512, ""max_depth"": 7, ""min_child_weight"": 7.044280059025002, ""n_estimators"": 1741, ""reg_alpha"": 11.029629032199878, ""reg_lambda"": 0.22019405561421432, ""subsample"": 0.6560039840885861}",wifi,coarse,ok,0.018217410892248154,6,0.9976325677589998,0.009992366941919368,0.9999800134891527,0.999738814993954,0.9955351767386079
1,2.510164446895942,0.0,642,xgboost,0.9479152225397689,"{""colsample_bytree"": 0.8171815526717815, ""gamma"": 0.9278054064777779, ""learning_rate"": 0.033528083562953455, ""max_bin"": 256, ""max_depth"": 12, ""min_child_weight"": 1.9651691044381008, ""n_estimators"": 2688, ""reg_alpha"": 0.0062111839104599985, ""reg_lambda"": 34.609696107516996, ""subsample"": 0.9010680819623105}",wifi,coarse,ok,0.01680905930697918,7,0.9976086781423167,0.009969236462887146,0.9999781805264716,0.9997394068270574,0.995487012517881
1,1.8069880660623312,0.0,354,xgboost,1.037038354214139,"{""colsample_bytree"": 0.7950732109678332, ""gamma"": 2.231912079792424, ""learning_rate"": 0.019945799626157404, ""max_bin"": 512, ""max_depth"": 4, ""min_child_weight"": 3.733336833334073, ""n_estimators"": 1578, ""reg_alpha"": 0.815796921115107, ""reg_lambda"": 0.003798100813300955, ""subsample"": 0.8051913547390479}",wifi,coarse,ok,0.19427192211151123,8,0.9974480942490981,0.0010408715564499342,0.9999795105908085,0.9999727704769039,0.9949361342433161
1,1.6643796891439706,0.0,173,xgboost,0.9931890892305401,"{""colsample_bytree"": 0.9089219831289347, ""gamma"": 0.0010443336854073309, ""learning_rate"": 0.015053053190378982, ""max_bin"": 512, ""max_depth"": 8, ""min_child_weight"": 4.0392944330279725, ""n_estimators"": 1970, ""reg_alpha"": 0.0013581083569123105, ""reg_lambda"": 0.9650318448689923, ""subsample"": 0.939121700662898}",wifi,coarse,ok,0.09792930632829666,9,0.9973155606041996,0.005412532093539657,0.9999769912347395,0.9998584012533305,0.9947856210535442
1,1.180522953858599,0.0,49,xgboost,0.9547488499282936,"{""colsample_bytree"": 0.9629332446546971, ""gamma"": 0.001296670537499229, ""learning_rate"": 0.04928842420933268, ""max_bin"": 512, ""max_depth"": 5, ""min_child_weight"": 21.07805724893545, ""n_estimators"": 2157, ""reg_alpha"": 0.00026295710250683654, ""reg_lambda"": 0.9286940718137718, ""subsample"": 0.7715957454190817}",wifi,coarse,ok,0.13474035263061523,10,0.9968096704392885,0.009205930654823861,0.999969720744875,0.9997589650759775,0.9938777254928404
