split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_mlp_recall_priority_control,0.1,4000,0.0,0.0,0.0,0.0,800.0,0.2,800.0,0.0,candidate_model,candidate_model:warm_mqtt_mlp,192000,48.0,48.0,1.8875,0,0,0,0.0,2,0,0,0,0,,,,
train_mqtt_mlp_recall_priority_control,0.1,4000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_mlp,190752,47.688,48.0,1.65025,0,0,0,0.0,1,0,0,0,0,3974.0,1.0,0.00025,0.99325
val_mqtt_mlp,0.1,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,candidate_model,candidate_model:robust_mqtt_mlp,72000,48.0,48.0,1.888,0,0,0,0.0,1,0,0,0,0,,,,
val_mqtt_mlp,0.1,1500,,,,,,,,,candidate_model,candidate_model:robust_mqtt_mlp,26496,17.664,48.0,0.6633333333333333,0,0,0,0.0,0,0,0,0,0,565.0,50.0,0.03333333333333333,0.3433333333333333
