split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_mqtt_catboost_balanced,0.1,12000,0.0,3881.0,3881.0,0.3234166666666667,4381.0,0.3650833333333333,500.0,0.3234166666666667,candidate_model,candidate_model:warm_mqtt_catboost,2045760,170.48,192.0,4.984083333333333,6,6,10655.0,11955.0,12000,0,0,1e-06,0,False,0,0,0,0.0,353,0,0,0,0,,,,
train_mqtt_catboost_balanced,0.1,12000,,,,,,,,,candidate_model,candidate_model:warm_mqtt_catboost,2296928,191.41066666666666,192.0,5.208833333333334,6,6,11963.166666666666,11993.5,12000,0,0,1e-06,0,False,0,0,0,0.0,574,0,0,0,0,12000.0,55.0,0.004583333333333333,0.9954166666666666
val_mqtt_catboost,0.1,6000,2.0,122.0,120.0,0.02,120.0,0.02,0.0,0.02033333333333333,candidate_model,candidate_model:robust_mqtt_catboost,1142208,190.368,192.0,5.5535,6,6,5949.0,5993.75,5998,0,0,1e-06,0,False,0,0,0,0.0,11,0,0,0,0,,,,
val_mqtt_catboost,0.1,6000,,,,,,,,,candidate_model,candidate_model:robust_mqtt_catboost,1118368,186.39466666666667,192.0,5.187666666666667,6,6,5824.833333333333,5967.5,5985,0,0,1e-06,0,False,0,0,0,0.0,157,0,0,0,0,5985.0,353.0,0.058833333333333335,0.9386666666666666
