split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_bluetooth_catboost_balanced,0.1,8000,0.0,0.0,0.0,0.0,500.0,0.0625,500.0,0.0,candidate_model,candidate_model:warm_bluetooth_catboost,1536000,192.0,192.0,4.18625,6,6,8000.0,8000.0,8000,0,0,1e-06,0,False,0,0,0,0.0,16,0,0,0,0,,,,
train_bluetooth_catboost_balanced,0.1,12000,,,,,,,,,candidate_model,candidate_model:warm_bluetooth_catboost,774080,64.50666666666666,96.0,2.005333333333333,6,6,4031.6666666666665,11358.25,11997,0,0,1e-06,0,False,0,0,0,0.0,19,0,0,0,0,11997.0,11969.0,0.9974166666666666,0.0023333333333333335
val_bluetooth_catboost,0.1,6000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,candidate_model,candidate_model:robust_bluetooth_catboost,1152000,192.0,192.0,4.851333333333334,6,3,6000.0,6000.0,6000,0,0,1e-06,0,False,0,0,0,0.0,31,0,0,0,0,,,,
val_bluetooth_catboost,0.1,6000,,,,,,,,,candidate_model,candidate_model:robust_bluetooth_catboost,1137184,189.53066666666666,192.0,5.9025,6,6,5922.833333333333,5990.25,5992,0,0,1e-06,0,False,0,0,0,0.0,121,0,0,0,0,5992.0,150.0,0.025,0.9736666666666667
