split,epsilon,targeted_rows,baseline_false_alarm_rows,attack_successes_any,flip_rows,flip_rate,selected_rows,selected_rate,selected_topk_added_rows,attacked_pred_attack_rate,attack_source_mode,attack_source_detail,queries_total,queries_mean,queries_p95,accepted_moves_mean,steps_executed,steps_with_progress,active_rows_mean_per_step,active_rows_p95_per_step,active_rows_max_per_step,max_active_rows_per_step,stagnation_patience,stagnation_min_delta,stagnation_steps,stagnation_triggered,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs,cap_violation_rows,relation_violation_rows,relation_min_avg_max_rows,relation_tot_num_avg_rows,relation_rate_rows,baseline_detected_rows,evasion_flip_rows,evasion_flip_rate,robust_recall_under_attack
train_wifi_catboost_recall_priority_control,0.1,8000,1.0,3037.0,3036.0,0.3795,3536.0,0.442,500.0,0.379625,fixed_xgb,fixed_xgb:wifi_base,782152,97.769,128.0,0.806375,12,12,2992.4166666666665,4096.0,4096,4096,2,5e-05,0,False,0,0,0,0.0,2,0,0,0,0,,,,
train_wifi_catboost_recall_priority_control,0.1,30000,,,,,,,,,fixed_xgb,fixed_xgb:wifi_base,1550000,51.666666666666664,120.0,1.9623333333333333,16,16,4096.0,4096.0,4096,4096,2,5e-05,0,False,0,0,0,0.0,350,0,0,0,0,29977.0,15.0,0.0005,0.9987333333333334
val_wifi_catboost,0.1,2029,0.0,111.0,111.0,0.05470675209462789,111.0,0.05470675209462789,0.0,0.05470675209462789,fixed_xgb,fixed_xgb:wifi_base,250640,123.52883193691474,128.0,0.1054706752094628,6,5,1953.6666666666667,2018.0,2029,4096,2,5e-05,1,False,0,0,0,0.0,0,0,0,0,0,,,,
val_wifi_catboost,0.1,9357,,,,,,,,,fixed_xgb,fixed_xgb:wifi_base,1187840,126.94667094154109,128.0,4.6184674575184355,16,15,3477.375,4096.0,4096,4096,2,5e-05,0,False,0,0,0,0.0,331,0,0,0,0,9298.0,8.0,0.0008549748851127498,0.9928395853371808
